迭代次数,总损失,合成监督损失,真实伪标签损失,正伪标签比例,负伪标签比例,忽略比例,平均预测熵,正类概率阈值,负类概率阈值,残差阈值
130,0.6873354911804199,0.6589424014091492,0.08112315833568573,0.004547119140625,0.25,0.745452880859375,0.40722811222076416,0.72,0.11316104233264923,0.023683223873376846
131,0.6904230117797852,0.657569169998169,0.09386811405420303,0.0044097900390625,0.25,0.7455902099609375,0.4072936773300171,0.72,0.113047756254673,0.020624781027436256
132,0.6799694299697876,0.654564380645752,0.07258585095405579,0.0045928955078125,0.25,0.7454071044921875,0.4050055742263794,0.7415879964828491,0.11566992104053497,0.01970325969159603
133,0.7130376696586609,0.6816338896751404,0.089725062251091,0.007171630859375,0.25,0.742828369140625,0.4112093150615692,0.7435424327850342,0.10957692563533783,0.028391065075993538
134,0.6811999082565308,0.6543983221054077,0.07657604664564133,0.0054473876953125,0.25,0.7445526123046875,0.40781301259994507,0.72,0.11258836090564728,0.021633297204971313
135,0.6210810542106628,0.5965642333030701,0.07004806399345398,0.0032501220703125,0.25,0.7467498779296875,0.4098552465438843,0.72,0.10877666622400284,0.027169357985258102
136,0.6100051403045654,0.5848377346992493,0.07190682739019394,0.0040130615234375,0.25,0.7459869384765625,0.4079377055168152,0.72,0.11119940876960754,0.021535905078053474
137,0.6624561548233032,0.6379990577697754,0.06987740844488144,0.0046539306640625,0.25,0.7453460693359375,0.4047272801399231,0.72,0.11452895402908325,0.020562775433063507
138,0.8351183533668518,0.8015259504318237,0.09597834944725037,0.0061187744140625,0.25,0.7438812255859375,0.4073726236820221,0.7331200242042542,0.11068578064441681,0.02373417839407921
139,0.736808180809021,0.7100715041160583,0.07639044523239136,0.00787353515625,0.25,0.74212646484375,0.40420258045196533,0.8400499820709229,0.11803415417671204,0.016939129680395126
140,0.7487365007400513,0.7194527387619019,0.08366796374320984,0.005615234375,0.25,0.744384765625,0.41003531217575073,0.72,0.10844095051288605,0.024168474599719048
